fdc_id,food_name,calories,protein,carbs,fat,fiber,sugar,sodium
321358,"Hummus, commercial",229.0,7.35,14.9,17.1,5.4,,438.0
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0,3.35,4.91,1.9,,,39.0
321360,"Tomatoes, grape, raw",27.0,0.83,5.51,0.63,2.1,,6.0
321611,"Beans, snap, green, canned, regular pack, drained solids",20.0,1.04,4.11,0.39,,,282.0
321900,"Broccoli, raw",32.0,2.57,6.29,0.34,2.4,,36.0
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0,3.38,5.19,0.95,,,39.0
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.0,3.43,4.89,0.08,,,41.0
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",60.0,3.28,4.67,3.2,,,38.0
323121,"Frankfurter, beef, unheated",314.0,11.7,2.89,28.0,,,872.0
323294,"Nuts, almonds, dry roasted, with salt added",621.0,20.4,16.2,57.8,11.0,,256.0
323444,"Cheese, ricotta, whole milk",157.0,7.81,6.86,11.0,,,105.0
323505,"Kale, raw",35.0,2.92,4.42,1.49,4.1,,53.0
323604,"Egg, whole, raw, frozen, pasteurized",150.0,12.3,0.91,10.3,,,121.0
323697,"Egg, white, raw, frozen, pasteurized",48.0,10.1,0.74,0.16,,,144.0
323793,"Egg, white, dried",376.0,79.9,6.02,0.65,,,1250.0
324038,"Sauce, salsa, ready-to-serve",29.0,1.44,6.74,0.19,1.8,,656.0
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",329.0,13.3,3.37,28.7,,,866.0
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",289.0,4.52,36.3,14.4,2.4,,374.0
324653,"Pickles, cucumber, dill or kosher dill",12.0,0.48,1.99,0.43,1.0,,808.0
324860,"Peanut butter, smooth style, with salt",597.0,22.5,22.3,51.1,4.8,,429.0
325036,"Cheese, parmesan, grated",420.0,29.6,12.4,28.0,,,1750.0
325198,"Cheese, pasteurized process, American, vitamin D fortified",366.0,18.0,5.27,30.6,,,1660.0
325287,"Grapefruit juice, white, canned or bottled, unsweetened",37.0,0.55,7.59,0.7,0.2,,1.0
325430,"Peaches, yellow, raw",42.0,0.91,10.1,0.27,1.5,,13.0
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",612.0,21.0,17.1,56.1,10.3,,532.0
325658,"Sausage, Italian, pork, mild, cooked, pan-fried",322.0,18.2,2.15,26.2,,,766.0
325871,"Bread, white, commercially prepared",270.0,9.43,49.2,3.59,2.3,,477.0
325992,"Sausage, turkey, breakfast links, mild, raw",169.0,16.7,0.93,10.4,,,599.0
326135,"Cheese, swiss",393.0,27.0,1.44,31.0,,,185.0
326196,"Kale, frozen, cooked, boiled, drained, without salt",36.0,2.94,5.3,1.21,,,16.0
326458,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",37.0,0.81,7.92,0.47,3.2,,66.0
326698,"Mustard, prepared, yellow",61.0,4.25,5.3,3.38,4.3,,1100.0
326905,"Figs, dried, uncooked",249.0,3.3,63.9,0.92,9.8,,10.0
327046,"Kiwifruit, green, raw",58.0,1.06,14.0,0.44,3.0,,5.0
327198,"Melons, cantaloupe, raw",34.0,0.82,8.16,0.18,0.8,,30.0
327357,"Nectarines, raw",39.0,1.06,9.18,0.28,1.5,,13.0
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",47.0,0.91,11.8,0.15,2.0,,9.0
327699,"Strawberries, raw",31.0,0.64,7.63,0.22,1.8,,10.0
327923,"Lettuce, cos or romaine, raw",17.0,1.24,3.24,0.26,1.8,,
328637,"Cheese, cheddar",408.0,23.3,2.44,34.0,,,654.0
328841,"Cheese, cottage, lowfat, 2% milkfat",84.0,11.0,4.31,2.3,,,321.0
